sentence,label
word_29 word_230 word_88 word_294 word_170 word_234 word_149 word_184 word_195 word_47 word_261 word_19 word_181,1
word_224 word_56 word_284 word_153 word_178 word_206 word_200 word_276,0
word_104 word_13 word_114 word_60 word_235 word_35 word_26 word_8 word_30 word_68 word_45,1
word_77 word_76 word_234 word_163 word_273 word_144 word_121 word_104,0
word_133 word_16 word_219 word_206 word_142 word_43 word_122 word_118 word_174 word_104 word_257 word_159 word_45 word_53,0
word_262 word_228 word_112 word_66 word_6 word_228 word_53 word_88 word_151 word_196 word_273 word_20 word_63,0
word_262 word_232 word_179 word_38 word_34 word_235 word_217 word_269 word_64 word_6 word_20 word_261 word_55,0
word_202 word_138 word_98 word_81 word_66 word_86 word_240 word_215 word_3,0
word_285 word_296 word_172 word_170 word_57 word_119 word_231 word_277 word_105,0
word_149 word_47 word_248 word_183 word_242 word_224 word_96 word_217 word_190 word_130 word_134 word_36 word_72,1
word_127 word_148 word_0 word_279 word_126 word_73 word_127 word_35 word_297 word_133 word_131 word_209 word_294,1
word_211 word_149 word_61 word_70 word_125 word_125 word_5 word_142 word_126 word_93 word_51 word_158 word_209 word_221 word_162,1
word_65 word_192 word_85 word_2 word_106 word_226 word_210 word_154 word_219 word_102 word_135 word_72 word_117 word_95 word_162,0
word_223 word_43 word_206 word_139 word_228 word_241 word_225 word_99 word_77 word_37,0
word_283 word_125 word_195 word_30 word_17 word_101 word_243 word_15 word_64 word_16 word_169,1
word_100 word_189 word_154 word_231 word_165 word_92 word_121 word_30,0
word_121 word_284 word_9 word_209 word_281 word_154 word_213 word_89 word_124 word_130 word_120 word_250 word_222,1
word_250 word_81 word_190 word_222 word_279 word_73 word_153 word_73,1
word_146 word_55 word_85 word_64 word_101 word_266 word_185 word_158 word_102 word_186 word_88 word_130 word_67,1
word_282 word_73 word_191 word_207 word_44 word_33,0
word_149 word_264 word_115 word_161 word_261 word_182 word_212 word_206 word_203 word_252 word_296,1
word_35 word_102 word_85 word_132 word_44 word_18 word_215 word_115,1
word_263 word_241 word_106 word_107 word_124 word_32,1
word_248 word_44 word_289 word_3 word_221,1
word_94 word_65 word_28 word_132 word_96 word_95 word_119 word_228 word_55 word_155 word_240 word_217,0
word_270 word_199 word_192 word_280 word_223,0
word_283 word_182 word_133 word_134 word_153 word_273,1
word_11 word_82 word_257 word_163 word_38 word_30,0
word_98 word_93 word_248 word_274 word_89 word_143 word_251 word_188 word_102 word_40 word_204 word_91,1
word_28 word_209 word_270 word_263 word_45 word_19 word_96,0
word_267 word_246 word_247 word_180 word_39 word_111,1
word_114 word_94 word_32 word_214 word_99 word_219 word_254 word_296 word_150 word_229,0
word_79 word_58 word_51 word_35 word_117 word_120 word_98 word_269 word_239 word_51 word_232 word_50 word_9 word_198 word_62,1
word_12 word_192 word_67 word_112 word_28 word_201 word_30 word_176,1
word_58 word_68 word_6 word_238 word_105 word_135 word_58 word_277 word_45 word_293 word_291 word_105 word_65,0
word_103 word_62 word_219 word_179 word_163 word_287 word_220 word_167 word_49 word_134 word_245 word_75 word_66 word_105,1
word_173 word_255 word_150 word_230 word_171 word_19 word_111 word_240 word_208 word_23 word_85 word_69 word_278,0
word_8 word_35 word_193 word_165 word_46 word_64 word_181 word_119 word_87,0
word_269 word_11 word_176 word_113 word_183 word_49 word_76 word_57 word_94,0
word_234 word_85 word_208 word_191 word_215 word_41,1
word_2 word_81 word_220 word_87 word_244 word_292 word_152 word_177 word_123 word_6 word_208 word_267 word_25 word_112 word_88,1
word_104 word_266 word_192 word_236 word_81 word_203 word_216 word_142 word_224 word_83 word_2 word_291 word_176,1
word_118 word_190 word_206 word_146 word_52 word_170 word_193 word_187 word_77,1
word_261 word_212 word_17 word_95 word_87 word_44 word_134 word_10 word_253,0
word_135 word_168 word_48 word_218 word_215 word_150 word_121 word_275,0
word_40 word_72 word_159 word_241 word_102 word_298 word_283 word_241 word_77,0
word_45 word_194 word_228 word_81 word_175,0
word_189 word_241 word_46 word_27 word_214 word_159 word_234 word_174,1
word_235 word_244 word_243 word_227 word_38 word_23 word_68 word_87 word_224 word_197,1
word_69 word_118 word_271 word_63 word_215,0
word_74 word_267 word_280 word_13 word_22 word_166 word_270 word_100 word_3 word_229 word_299 word_51 word_255,1
word_15 word_5 word_118 word_84 word_136 word_190 word_256 word_89 word_148 word_274 word_228 word_253 word_208 word_59,1
word_123 word_215 word_50 word_274 word_30 word_13 word_56 word_161 word_3 word_133 word_205,0
word_293 word_90 word_292 word_189 word_248 word_95,0
word_145 word_220 word_109 word_162 word_46 word_171 word_89 word_62 word_279 word_102 word_250 word_190 word_185 word_230 word_35,1
word_123 word_175 word_230 word_117 word_69 word_179 word_180 word_58 word_253,0
word_67 word_178 word_23 word_12 word_111 word_38 word_53 word_191 word_275 word_31 word_223 word_31 word_161 word_173 word_239,0
word_294 word_36 word_93 word_187 word_121 word_196 word_2 word_46 word_208,1
word_4 word_160 word_31 word_149 word_133,1
word_160 word_43 word_91 word_67 word_282,0
word_203 word_81 word_183 word_122 word_247,1
word_188 word_111 word_299 word_111 word_250 word_225 word_243 word_224 word_62 word_227 word_53 word_294 word_299 word_99,1
word_0 word_292 word_245 word_224 word_251 word_278,1
word_13 word_184 word_252 word_86 word_159 word_181 word_299 word_33 word_103 word_170 word_21,1
word_90 word_171 word_56 word_71 word_46 word_84 word_9 word_166 word_42 word_92,1
word_130 word_55 word_15 word_48 word_20 word_295 word_202 word_84 word_173,1
word_160 word_230 word_153 word_291 word_119 word_170 word_86 word_23 word_116 word_253 word_228,1
word_266 word_149 word_188 word_179 word_135 word_280 word_33 word_6 word_50 word_46 word_21 word_212,1
word_280 word_36 word_32 word_170 word_31 word_118 word_11 word_96 word_73,1
word_73 word_87 word_170 word_3 word_158 word_157 word_278 word_268 word_23 word_179 word_4 word_207 word_270 word_143,0
word_129 word_270 word_115 word_252 word_1 word_182 word_71 word_143 word_98,0
word_75 word_27 word_179 word_81 word_215 word_105 word_290 word_36 word_133 word_231 word_78,1
word_21 word_158 word_243 word_30 word_1 word_45 word_175,1
word_10 word_271 word_41 word_110 word_156 word_254 word_119 word_2 word_292 word_112,0
word_70 word_53 word_91 word_202 word_266 word_112,0
word_16 word_167 word_121 word_297 word_78 word_96 word_231 word_254 word_23 word_121,0
word_185 word_141 word_204 word_12 word_181 word_277 word_221 word_90 word_97 word_97 word_47,1
word_96 word_147 word_239 word_293 word_11 word_108,0
word_205 word_125 word_167 word_202 word_25 word_107 word_95 word_63 word_116 word_184,1
word_94 word_297 word_127 word_115 word_105 word_258 word_39 word_175 word_201 word_161 word_5 word_50,1
word_26 word_119 word_184 word_6 word_87,0
word_253 word_86 word_99 word_202 word_192 word_296 word_204 word_264 word_78,1
word_287 word_212 word_185 word_298 word_268 word_107 word_230,1
word_204 word_241 word_19 word_267 word_13 word_212 word_223 word_203 word_30 word_92 word_225,1
word_206 word_264 word_14 word_245 word_201 word_88 word_160 word_103 word_4 word_290 word_61,0
word_182 word_166 word_61 word_298 word_87 word_14 word_296 word_120 word_76 word_232 word_42 word_141 word_151 word_57 word_276,0
word_14 word_11 word_155 word_79 word_205 word_77 word_80,1
word_86 word_176 word_33 word_30 word_29 word_148 word_157 word_6 word_98,1
word_181 word_19 word_41 word_269 word_270 word_221 word_298 word_189 word_240 word_283 word_129 word_82 word_7 word_20 word_114,1
word_272 word_197 word_234 word_130 word_218 word_291 word_48 word_284 word_128 word_148 word_92,1
word_227 word_62 word_215 word_1 word_207 word_270 word_174 word_253 word_81 word_252 word_293 word_294 word_78 word_204,0
word_226 word_73 word_241 word_203 word_185 word_40 word_223,0
word_279 word_196 word_7 word_204 word_160 word_263 word_215 word_98 word_277 word_71 word_62 word_140 word_169,1
word_3 word_187 word_30 word_73 word_150 word_237 word_68,1
word_46 word_188 word_152 word_261 word_292 word_1 word_51 word_164,1
word_4 word_17 word_133 word_108 word_99 word_11 word_39 word_13 word_292 word_155 word_253 word_67 word_259 word_172 word_77,1
word_170 word_260 word_203 word_144 word_92 word_25 word_45,1
word_81 word_68 word_244 word_27 word_140 word_54 word_37 word_178 word_288,0
word_172 word_208 word_120 word_198 word_135 word_270 word_137 word_84 word_271 word_14 word_42 word_134,0
word_270 word_93 word_94 word_142 word_41 word_293 word_211,1
word_275 word_248 word_277 word_148 word_282 word_181 word_200 word_250,0
word_203 word_232 word_105 word_162 word_131 word_172 word_257 word_187 word_161 word_224 word_13 word_176 word_128 word_247 word_18,1
word_170 word_238 word_131 word_84 word_259 word_161 word_1 word_100 word_262 word_4,1
word_260 word_149 word_110 word_183 word_28 word_163 word_60 word_252 word_217 word_4 word_278 word_259 word_28 word_59 word_294,1
word_280 word_77 word_204 word_166 word_166 word_292 word_156 word_238 word_65,0
word_25 word_229 word_273 word_23 word_243 word_199 word_283 word_216 word_48,1
word_74 word_242 word_86 word_259 word_287 word_297 word_251 word_290 word_255 word_174 word_63 word_153 word_259,1
word_101 word_96 word_218 word_58 word_137 word_151,0
word_89 word_117 word_250 word_208 word_218 word_17 word_289 word_258,0
word_126 word_152 word_241 word_156 word_81 word_27,0
word_190 word_214 word_32 word_193 word_32 word_97 word_112 word_101 word_288 word_251 word_223 word_295,1
word_214 word_8 word_149 word_134 word_46 word_168 word_66 word_144 word_296 word_142 word_248,0
word_192 word_73 word_205 word_68 word_104 word_151 word_28 word_295 word_35 word_215 word_175 word_232 word_129 word_69,1
word_85 word_9 word_277 word_108 word_288 word_231 word_103 word_202 word_276 word_82 word_36 word_6 word_118,0
word_253 word_156 word_249 word_287 word_173 word_255 word_114,1
word_181 word_5 word_23 word_35 word_40 word_133 word_112 word_105 word_197 word_41 word_55 word_55,0
word_272 word_205 word_110 word_157 word_167 word_114 word_246 word_16 word_89 word_105 word_206 word_201 word_266,1
word_77 word_216 word_268 word_131 word_239 word_109 word_50 word_297 word_239,0
word_195 word_196 word_275 word_182 word_279 word_234 word_38,0
word_102 word_0 word_299 word_167 word_246 word_240 word_206 word_164,0
word_3 word_72 word_43 word_98 word_52 word_33 word_126 word_145 word_131 word_82 word_49 word_266 word_168 word_167 word_234,1
word_149 word_92 word_84 word_91 word_50 word_292 word_109 word_26 word_54,1
word_275 word_102 word_164 word_227 word_228,1
word_134 word_93 word_154 word_157 word_60 word_122 word_100 word_196 word_25 word_228,1
word_97 word_120 word_203 word_76 word_246 word_95 word_292,1
word_162 word_258 word_9 word_36 word_9 word_217,0
word_280 word_12 word_292 word_52 word_0,0
word_233 word_63 word_173 word_70 word_234 word_140 word_120 word_193 word_156 word_181 word_110 word_50 word_267 word_263 word_267,1
word_15 word_137 word_175 word_288 word_265 word_182 word_38 word_294 word_2 word_144 word_201 word_107 word_246 word_119 word_169,0
word_45 word_141 word_214 word_144 word_47 word_229 word_231 word_259 word_54 word_139 word_115 word_232 word_262,0
word_11 word_198 word_85 word_69 word_220 word_169 word_33 word_88 word_53 word_230 word_42 word_181 word_147 word_144,1
word_193 word_268 word_263 word_105 word_255 word_61 word_180 word_105 word_128 word_134 word_283 word_60 word_3,0
word_264 word_33 word_233 word_230 word_267 word_32 word_99 word_289 word_101 word_274 word_257 word_251 word_58,0
word_88 word_254 word_82 word_156 word_94 word_127 word_133 word_126 word_206,1
word_83 word_166 word_76 word_152 word_220 word_43 word_224 word_21 word_46 word_291,1
word_91 word_94 word_212 word_282 word_31 word_104 word_267 word_191 word_46 word_122 word_164 word_172 word_160 word_57,1
word_124 word_287 word_203 word_83 word_266 word_73 word_103 word_228 word_184,0
word_66 word_276 word_133 word_99 word_23 word_16 word_184 word_245 word_151 word_16 word_294 word_23,1
word_292 word_140 word_20 word_2 word_58 word_30 word_191 word_103 word_45,1
word_211 word_167 word_106 word_152 word_188 word_152 word_74 word_185,0
word_283 word_7 word_273 word_132 word_202 word_211 word_61 word_94 word_4 word_130 word_171,1
word_60 word_45 word_144 word_94 word_152 word_212 word_17,1
word_135 word_169 word_128 word_269 word_229 word_255 word_284 word_235 word_205 word_56 word_272,0
word_104 word_109 word_274 word_196 word_124,0
word_242 word_207 word_46 word_101 word_228,0
word_226 word_23 word_252 word_42 word_47 word_140 word_6 word_260 word_230,1
word_34 word_48 word_263 word_61 word_241 word_139 word_130 word_206 word_119 word_157 word_283 word_191 word_235 word_289 word_161,0
word_242 word_175 word_151 word_22 word_67 word_45 word_123 word_54 word_296,1
word_118 word_156 word_119 word_247 word_68 word_237 word_186 word_173 word_94,1
word_126 word_81 word_187 word_31 word_159 word_154 word_215 word_267 word_139 word_126 word_23 word_189 word_178,0
word_64 word_278 word_161 word_18 word_189 word_86,1
word_121 word_263 word_66 word_15 word_279 word_87 word_174 word_131 word_185 word_74 word_52 word_216 word_160 word_228 word_82,0
word_42 word_180 word_213 word_172 word_149 word_247,1
word_181 word_242 word_66 word_3 word_31 word_262 word_86 word_114 word_251 word_29 word_285 word_243 word_40,0
word_142 word_39 word_267 word_288 word_167,1
word_222 word_10 word_298 word_246 word_6 word_98 word_42 word_247 word_182 word_89 word_126,0
word_37 word_39 word_276 word_230 word_121 word_224 word_255,0
word_112 word_126 word_210 word_199 word_176 word_204 word_116 word_69 word_71 word_148,0
word_212 word_42 word_190 word_145 word_52 word_185 word_210 word_222 word_279 word_241 word_235 word_21 word_100,1
word_59 word_80 word_125 word_198 word_158 word_244 word_131 word_98,1
word_271 word_19 word_211 word_211 word_288 word_90 word_197,1
word_188 word_23 word_44 word_87 word_131 word_124 word_77 word_145 word_48,0
word_146 word_97 word_166 word_119 word_267 word_210 word_80 word_249 word_195,0
word_39 word_108 word_30 word_55 word_209 word_66 word_190 word_200,0
word_93 word_198 word_40 word_31 word_75,1
word_113 word_91 word_272 word_273 word_27 word_212 word_244 word_47 word_178 word_168 word_283 word_127 word_38 word_150,1
word_8 word_87 word_268 word_69 word_9 word_174 word_275 word_123,0
word_195 word_115 word_226 word_193 word_38 word_63 word_230 word_256 word_149 word_111 word_20 word_178,1
word_61 word_183 word_65 word_183 word_143 word_52 word_13 word_287 word_125 word_211,0
word_226 word_227 word_140 word_120 word_232 word_30 word_237 word_197 word_42 word_117,0
word_74 word_161 word_202 word_271 word_279 word_279 word_103 word_186 word_204 word_119 word_156 word_291 word_151 word_132 word_141,0
word_158 word_64 word_55 word_171 word_248 word_223 word_92 word_237 word_238 word_12 word_12 word_37 word_39,0
word_161 word_15 word_30 word_120 word_202 word_257 word_33 word_76 word_88 word_0 word_106 word_228 word_198 word_282,1
word_45 word_28 word_123 word_83 word_211 word_268 word_53,0
word_209 word_80 word_265 word_84 word_19 word_63 word_145 word_245 word_24 word_143 word_116 word_134 word_276 word_54 word_9,1
word_168 word_173 word_273 word_195 word_84 word_107 word_13 word_213,1
word_194 word_241 word_37 word_226 word_78 word_1 word_24 word_242 word_194 word_241 word_294 word_146 word_51 word_168 word_39,0
word_56 word_104 word_268 word_89 word_214 word_47,1
word_236 word_89 word_39 word_113 word_243 word_35 word_40 word_37,1
word_109 word_290 word_127 word_115 word_292 word_254,1
word_70 word_217 word_97 word_108 word_167 word_33 word_198 word_86 word_271 word_205 word_230 word_156 word_268 word_169 word_249,0
word_127 word_203 word_280 word_51 word_28 word_54 word_273 word_202 word_57 word_256 word_294 word_0 word_25 word_299 word_123,1
word_157 word_266 word_32 word_197 word_238 word_55 word_255 word_179 word_173,1
word_146 word_264 word_293 word_134 word_280,1
word_7 word_210 word_83 word_197 word_149 word_48 word_256 word_231 word_112 word_157 word_36 word_39,0
word_256 word_160 word_149 word_10 word_170 word_77 word_94 word_254 word_97 word_298 word_75 word_267,0
word_32 word_271 word_204 word_285 word_106 word_66 word_285 word_256 word_127 word_35 word_73 word_66,0
word_161 word_4 word_187 word_143 word_211 word_87 word_207 word_232 word_50 word_11 word_135 word_160 word_141 word_284 word_212,0
word_230 word_235 word_186 word_244 word_217 word_224 word_175 word_104 word_284 word_190,0
word_56 word_62 word_114 word_279 word_152 word_95,1
word_246 word_48 word_63 word_262 word_69 word_52 word_234 word_43,1
word_199 word_136 word_165 word_206 word_7 word_6,1
word_75 word_115 word_272 word_29 word_240 word_57 word_42 word_1 word_179 word_254 word_30 word_45 word_102 word_197,1
word_152 word_279 word_51 word_91 word_223,0
word_1 word_115 word_83 word_129 word_270 word_112,0
word_254 word_108 word_288 word_205 word_52,0
word_75 word_17 word_212 word_293 word_252 word_198 word_130,0
word_73 word_208 word_56 word_238 word_194 word_81 word_77 word_94 word_142 word_76 word_267 word_299 word_226,1
word_49 word_115 word_274 word_97 word_251 word_209 word_132,1
word_136 word_106 word_64 word_31 word_173 word_234 word_56 word_127 word_172 word_226 word_1 word_245,1
word_25 word_20 word_138 word_162 word_3,1
word_130 word_147 word_287 word_143 word_192 word_201 word_85 word_34 word_237 word_201,0
word_81 word_23 word_297 word_193 word_231 word_176 word_222 word_237 word_14 word_2,1
word_283 word_58 word_111 word_234 word_13 word_81 word_16 word_118 word_157 word_94,1
word_217 word_260 word_299 word_290 word_237 word_280 word_278 word_123 word_290,0
word_252 word_293 word_193 word_184 word_221 word_4 word_184 word_237 word_291 word_89 word_284 word_178 word_262 word_65,1
word_255 word_182 word_193 word_245 word_266,0
word_23 word_190 word_194 word_188 word_247 word_68 word_258 word_80 word_187 word_295 word_160 word_12,1
word_123 word_121 word_10 word_228 word_199 word_117 word_147 word_59 word_250 word_148 word_291 word_80 word_298 word_269 word_216,1
word_275 word_234 word_49 word_263 word_208 word_114 word_183 word_154,0
word_45 word_284 word_28 word_182 word_283 word_24,1
word_74 word_129 word_15 word_153 word_228 word_78 word_190,1
word_260 word_151 word_74 word_134 word_47 word_109 word_30 word_162 word_56 word_103 word_18 word_267,1
word_253 word_286 word_293 word_204 word_193,0
word_202 word_134 word_209 word_100 word_185 word_216 word_259 word_96 word_169 word_57 word_73 word_153 word_32,1
word_21 word_40 word_93 word_182 word_160 word_65 word_150,0
word_281 word_267 word_35 word_166 word_92 word_30 word_163 word_7 word_105 word_270 word_65,1
word_55 word_240 word_40 word_193 word_21 word_151 word_193 word_145,0
word_194 word_133 word_171 word_209 word_215 word_4 word_298,0
word_82 word_256 word_206 word_220 word_275 word_143 word_157,0
word_26 word_105 word_226 word_249 word_20 word_236 word_95 word_206,1
word_271 word_19 word_198 word_96 word_117 word_193 word_164 word_245 word_285 word_151 word_75 word_255 word_131 word_59 word_195,1
word_95 word_70 word_34 word_96 word_11 word_198 word_195 word_137 word_103 word_18 word_176 word_287 word_260,1
word_113 word_249 word_71 word_205 word_128 word_23,0
word_132 word_43 word_100 word_70 word_101,1
word_143 word_183 word_203 word_193 word_99,0
word_238 word_152 word_13 word_162 word_273,0
word_184 word_169 word_43 word_278 word_260 word_110 word_78 word_188 word_26,0
word_74 word_20 word_127 word_31 word_109 word_178 word_154 word_173 word_263 word_40 word_44,0
word_57 word_223 word_107 word_178 word_185 word_211 word_228 word_210,1
word_35 word_166 word_145 word_89 word_290 word_281 word_172 word_203,0
word_194 word_230 word_11 word_162 word_185 word_45 word_240 word_199,1
word_137 word_280 word_56 word_223 word_244 word_75 word_79 word_57,0
word_10 word_80 word_278 word_175 word_51 word_143 word_77,0
word_149 word_23 word_153 word_186 word_73 word_169 word_97 word_172 word_249 word_175 word_250 word_226 word_86,0
word_34 word_11 word_43 word_286 word_193 word_292 word_10 word_286 word_122 word_62 word_39 word_15 word_223 word_109,1
word_269 word_153 word_173 word_189 word_10 word_88 word_63 word_279 word_23 word_164 word_95 word_34 word_71,0
word_14 word_56 word_138 word_166 word_290,1
word_106 word_102 word_138 word_200 word_199 word_259 word_111 word_105 word_212 word_226 word_136,0
word_255 word_189 word_263 word_218 word_195 word_276 word_60 word_38 word_19 word_233 word_61,0
word_34 word_217 word_121 word_108 word_154 word_197 word_281 word_82,1
word_93 word_191 word_121 word_223 word_38 word_235 word_292 word_146 word_244 word_111 word_51,1
word_62 word_290 word_42 word_99 word_111 word_60 word_84,1
word_227 word_72 word_68 word_57 word_62 word_200 word_75 word_43,0
word_227 word_193 word_258 word_155 word_128 word_8 word_92 word_248 word_13 word_233 word_156 word_233 word_137,0
word_174 word_232 word_132 word_205 word_51 word_44 word_126 word_217 word_215 word_258 word_136 word_9,1
word_55 word_274 word_212 word_139 word_158 word_264 word_54 word_248 word_72 word_203 word_142 word_35 word_22,1
word_72 word_245 word_121 word_6 word_144 word_69 word_179 word_186 word_288 word_122 word_236 word_185,0
word_250 word_129 word_138 word_203 word_20 word_293 word_286 word_53 word_241 word_127,1
word_125 word_115 word_54 word_86 word_235 word_55 word_19 word_118 word_48,1
word_86 word_90 word_235 word_192 word_272 word_91 word_223 word_150 word_213 word_18 word_137 word_178 word_165 word_184 word_102,0
word_248 word_114 word_24 word_298 word_137 word_15 word_184,1
word_152 word_288 word_236 word_35 word_235 word_281,0
word_59 word_163 word_215 word_19 word_15,1
word_45 word_246 word_183 word_265 word_102 word_201 word_21 word_246 word_267 word_271 word_198 word_102,0
word_168 word_182 word_193 word_16 word_29 word_12 word_75,0
word_49 word_200 word_186 word_79 word_289 word_279 word_241 word_43 word_150 word_244 word_207 word_56 word_69 word_130,1
word_118 word_205 word_114 word_285 word_73 word_82 word_285 word_236,1
word_170 word_193 word_22 word_94 word_34 word_219 word_227 word_150,1
word_158 word_242 word_171 word_93 word_27 word_258 word_26 word_237 word_147 word_180 word_29 word_26 word_16 word_118,0
word_256 word_156 word_9 word_148 word_187 word_232 word_297 word_246 word_101 word_60 word_46 word_153 word_138 word_84,0
word_32 word_4 word_182 word_58 word_127,0
word_236 word_20 word_235 word_75 word_287 word_263 word_31 word_243 word_67 word_171 word_163 word_143 word_262 word_286,0
word_97 word_122 word_263 word_53 word_191 word_194 word_43 word_249 word_77 word_222 word_170 word_221 word_191,0
word_271 word_1 word_259 word_185 word_281 word_236 word_208 word_93 word_10 word_17 word_212 word_282 word_292 word_219 word_40,1
word_23 word_281 word_104 word_7 word_72 word_288 word_238,1
word_283 word_9 word_194 word_206 word_140 word_19 word_168,0
word_81 word_39 word_98 word_244 word_43 word_10 word_159,1
word_60 word_162 word_66 word_257 word_23,0
word_188 word_280 word_149 word_264 word_221 word_83 word_108 word_246 word_230 word_85 word_86 word_57 word_226 word_284,0
word_117 word_174 word_44 word_179 word_226 word_252 word_270 word_239 word_231,0
